Code,Ticker,Open,High,Low,Close,Volume,PrevClose,CompanyName,Market,Sector17,変動率(%),前日比(%),振れ幅(%),レンジ位置,上ヒゲ比,VWAP,売買代金(百万円),終値/VWAP,全体順位,セクター内順位,セクター銘柄数,セクター内%,vsセクター
1980,1980.T,3560.0,3680.0,3535.0,3670.0,504900.0,3575.0,ダイダン,プライム（内国株式）,建設・資材,3.09,2.66,4.07,0.931,0.069,3628.0,1831.8,1.012,595,71,281,0.253,1.13
1981,1981.T,1680.0,1700.0,1679.0,1679.0,2100.0,1690.0,協和日成,スタンダード（内国株式）,建設・資材,-0.06,-0.65,1.25,0.0,1.0,1686.0,3.5,0.996,3140,250,281,0.89,-2.02
1982,1982.T,6070.0,6570.0,6020.0,6530.0,116900.0,6030.0,日比谷総合設備,プライム（内国株式）,建設・資材,7.58,8.29,9.06,0.927,0.073,6373.0,745.0,1.025,52,4,281,0.014,5.62
198A,198A.T,245.0,256.0,243.0,248.0,913700.0,241.0,ＰｏｓｔＰｒｉｍｅ,グロース（内国株式）,情報通信・サービスその他,1.22,2.9,5.31,0.385,0.615,249.0,227.5,0.996,1758,468,1256,0.373,0.2
1992,1992.T,2793.0,2793.0,2793.0,2793.0,200.0,2843.0,神田通信機,スタンダード（内国株式）,建設・資材,0.0,-1.76,0.0,0.0,0.0,2793.0,0.6,1.0,2950,240,281,0.854,-1.96
1994,1994.T,609.0,611.0,600.0,601.0,18600.0,606.0,高橋カーテンウォール工業,スタンダード（内国株式）,建設・資材,-1.31,-0.83,1.81,0.091,0.909,604.0,11.2,0.995,3623,276,281,0.982,-3.27
1997,1997.T,4105.0,4135.0,4105.0,4135.0,200.0,4100.0,暁飯島工業,スタンダード（内国株式）,建設・資材,0.73,0.85,0.73,1.0,0.0,4125.0,0.8,1.002,2218,206,281,0.733,-1.23
2001,2001.T,2825.0,2867.0,2823.0,2867.0,294400.0,2825.0,ニップン,プライム（内国株式）,食品,1.49,1.49,1.56,1.0,0.0,2852.0,839.6,1.005,1553,39,136,0.287,0.42
2002,2002.T,2146.0,2184.0,2141.0,2184.0,973000.0,2138.5,日清製粉グループ本社,プライム（内国株式）,食品,1.77,2.13,2.0,1.0,0.0,2170.0,2111.4,1.006,1345,31,136,0.228,0.7
2003,2003.T,7070.0,7160.0,7070.0,7140.0,4100.0,7030.0,日東富士製粉,スタンダード（内国株式）,食品,0.99,1.56,1.27,0.778,0.222,7123.0,29.2,1.002,1961,68,136,0.5,-0.08
2004,2004.T,3380.0,3440.0,3375.0,3425.0,85500.0,3380.0,昭和産業,プライム（内国株式）,食品,1.33,1.33,1.92,0.769,0.231,3413.0,291.8,1.004,1665,47,136,0.346,0.26
2009,2009.T,1109.0,1117.0,1105.0,1117.0,30900.0,1112.0,鳥越製粉,スタンダード（内国株式）,食品,0.72,0.45,1.08,1.0,0.0,1113.0,34.4,1.004,2226,84,136,0.618,-0.35
202A,202A.T,3545.0,3550.0,3540.0,3545.0,300900.0,3545.0,豆蔵,グロース（内国株式）,情報通信・サービスその他,0.0,0.0,0.28,0.5,0.5,3545.0,1066.7,1.0,2950,882,1256,0.702,-1.02
2053,2053.T,1950.0,1987.0,1941.0,1987.0,78400.0,1927.0,中部飼料,プライム（内国株式）,食品,1.9,3.11,2.36,1.0,0.0,1972.0,154.6,1.008,1242,25,136,0.184,0.83
2055,2055.T,400.0,409.0,396.0,409.0,12200.0,399.0,日和産業,スタンダード（内国株式）,食品,2.25,2.51,3.25,1.0,0.0,405.0,4.9,1.01,1020,14,136,0.103,1.18
